# Datenquellen:
# 1) Robert Koch-Institut (SurvStat@RKI 2.0), https://survstat.rki.de, Abfragedatum: 22.09.2020; Datenstand: 2020-09-22 01:38:06; eigene Berechnung/eigene Darstellung
#    Meldungen aller Krankheiten 2020 als Neuinfizierte und Inzidenz für die Kreise zur Rückrechnung der Populationsdaten, die das RKI benutzt
#    für eigene Inzidenz-Berechnungen mit RKI/NPGEO (ArcGis-Hub) Daten.
#    Betrifft Spalten "A00-A04" bis "Einwohner in 100k (RKI SurvStat)"
# 2) Statistisches Bundesamt (Destatis), Genesis-Online, 12.09.2020; Datenlizenz by-2-0; eigene Berechnung/eigene Darstellung
#    Betrifft Spalten "Einwohner in 100k (Destatis Genesis)"
#    Web: https://www-genesis.destatis.de/genesis//online?operation=table&code=12411-0012&bypass=true&levelindex=1&levelid=1599941808956#abreadcrumb
# Datenlizenz by-2-0: https://www.govdata.de/dl-de/by-2-0
RKI NPGEO Kreis	SurvStat Kreis	Bundesland	Id	A00-A04	A05-A14	A15-A34	A35-A59	A60-A79	A80+	Einwohner in 100k (RKI SurvStat)	Einwohner in 100k (Destatis Genesis)
SK Rosenheim	SK Rosenheim	Bayern	9163	0.03114	0.05496	0.16826	0.21702	0.12581	0.03605	0.63324	0.63551
SK Rostock	SK Rostock	Mecklenburg-Vorpommern	13003	0.09417	0.15727	0.55861	0.64871	0.47079	0.1593	2.08885	2.09191
SK Salzgitter	SK Salzgitter	Niedersachsen	3102	0.05651	0.10029	0.24093	0.34433	0.23336	0.07406	1.04948	1.04291
SK Schwabach	SK Schwabach	Bayern	9565	0.02018	0.03732	0.08871	0.14719	0.08861	0.02591	0.40792	0.40981
SK Schweinfurt	SK Schweinfurt	Bayern	9662	0.02678	0.04693	0.1352	0.16946	0.11918	0.04277	0.54032	0.53426
SK Schwerin	SK Schwerin	Mecklenburg-Vorpommern	13004	0.04547	0.08199	0.20734	0.30953	0.23678	0.07707	0.95818	0.95653
SK Solingen	SK Solingen	Nordrhein-Westfalen	5122	0.07569	0.14594	0.36024	0.56786	0.333	0.11087	1.5936	1.59245
SK Speyer	SK Speyer	Rheinland-Pfalz	7318	0.02246	0.04371	0.11049	0.17786	0.11454	0.03472	0.50378	0.50561
SK Straubing	SK Straubing	Bayern	9263	0.02034	0.03709	0.11898	0.16833	0.10351	0.02969	0.47794	0.47791
SK Stuttgart	SK Stuttgart	Baden-Württemberg	8111	0.30307	0.52437	1.86941	2.19756	1.08888	0.365	6.34829	6.35911
SK Suhl	SK Suhl	Thüringen	16054	0.0122	0.02381	0.05751	0.11301	0.11191	0.02991	0.34835	0.36789
SK Trier	SK Trier	Rheinland-Pfalz	7211	0.04817	0.08322	0.36112	0.35411	0.1951	0.06464	1.10636	1.11528
SK Ulm	SK Ulm	Baden-Württemberg	8421	0.06144	0.11145	0.37575	0.4141	0.23002	0.07053	1.26329	1.2679
SK Weiden i.d.OPf.	SK Weiden i.d.OPf.	Bayern	9363	0.01806	0.03332	0.1024	0.1447	0.09595	0.03077	0.4252	0.42743
SK Weimar	SK Weimar	Thüringen	16055	0.0319	0.05842	0.15855	0.21274	0.14384	0.04545	0.6509	0.65228
SK Wiesbaden	SK Wiesbaden	Hessen	6414	0.15239	0.26521	0.67018	0.97973	0.54583	0.17008	2.78342	2.78474
SK Wilhelmshaven	SK Wilhelmshaven	Niedersachsen	3405	0.03303	0.05786	0.18869	0.23554	0.18726	0.0604	0.76278	0.76089
SK Wolfsburg	SK Wolfsburg	Niedersachsen	3103	0.06506	0.10734	0.29328	0.42282	0.26116	0.09185	1.24151	1.24371
SK Worms	SK Worms	Rheinland-Pfalz	7319	0.04297	0.07731	0.20408	0.28309	0.17407	0.05178	0.8333	0.83542
SK Wuppertal	SK Wuppertal	Nordrhein-Westfalen	5124	0.17867	0.3287	0.8702	1.20856	0.72587	0.23181	3.54381	3.551
SK Würzburg	SK Würzburg	Bayern	9663	0.05414	0.08138	0.44003	0.37764	0.23842	0.08719	1.2788	1.27934
SK Zweibrücken	SK Zweibrücken	Rheinland-Pfalz	7320	0.01487	0.02884	0.08125	0.11357	0.07863	0.02493	0.34209	0.34193
StadtRegion Aachen	StädteRegion Aachen	Nordrhein-Westfalen	5334	0.24773	0.45898	1.56496	1.80529	1.13366	0.34401	5.55463	5.57026
