# Datenquellen:
# 1) Robert Koch-Institut (SurvStat@RKI 2.0), https://survstat.rki.de, Abfragedatum: 22.09.2020; Datenstand: 2020-09-22 01:38:06; eigene Berechnung/eigene Darstellung
#    Meldungen aller Krankheiten 2020 als Neuinfizierte und Inzidenz für die Kreise zur Rückrechnung der Populationsdaten, die das RKI benutzt
#    für eigene Inzidenz-Berechnungen mit RKI/NPGEO (ArcGis-Hub) Daten.
#    Betrifft Spalten "A00-A04" bis "Einwohner in 100k (RKI SurvStat)"
# 2) Statistisches Bundesamt (Destatis), Genesis-Online, 12.09.2020; Datenlizenz by-2-0; eigene Berechnung/eigene Darstellung
#    Betrifft Spalten "Einwohner in 100k (Destatis Genesis)"
#    Web: https://www-genesis.destatis.de/genesis//online?operation=table&code=12411-0012&bypass=true&levelindex=1&levelid=1599941808956#abreadcrumb
# Datenlizenz by-2-0: https://www.govdata.de/dl-de/by-2-0
RKI NPGEO Kreis	SurvStat Kreis	Bundesland	Id	A00-A04	A05-A14	A15-A34	A35-A59	A60-A79	A80+	Einwohner in 100k (RKI SurvStat)	Einwohner in 100k (Destatis Genesis)
LK Dingolfing-Landau	LK Dingolfing-Landau	Bayern	9279	0.04493	0.08467	0.23249	0.35142	0.19556	0.0531	0.96217	0.96683
LK Dithmarschen	LK Dithmarschen	Schleswig-Holstein	1051	0.05393	0.11578	0.28087	0.4569	0.33154	0.09308	1.3321	1.33193
LK Donau-Ries	LK Donau-Ries	Bayern	9779	0.06196	0.12574	0.31353	0.48068	0.27459	0.07846	1.33496	1.33783
LK Donnersbergkreis	LK Donnersbergkreis	Rheinland-Pfalz	7333	0.03385	0.06798	0.15605	0.271	0.17461	0.04752	0.75101	0.75325
LK Düren	LK Düren	Nordrhein-Westfalen	5358	0.12413	0.2374	0.60115	0.92585	0.58561	0.16307	2.63721	2.64638
LK Ebersberg	LK Ebersberg	Bayern	9175	0.07375	0.14732	0.31676	0.53852	0.26725	0.07782	1.42142	1.43649
LK Eichsfeld	LK Eichsfeld	Thüringen	16061	0.04868	0.0955	0.18667	0.35606	0.25233	0.06456	1.0038	1.00006
LK Eichstätt	LK Eichstätt	Bayern	9176	0.0724	0.13143	0.32395	0.481	0.24538	0.06925	1.32341	1.32881
LK Elbe-Elster	LK Elbe-Elster	Brandenburg	12062	0.03945	0.08038	0.15851	0.36908	0.29099	0.08797	1.02638	1.01827
LK Emmendingen	LK Emmendingen	Baden-Württemberg	8316	0.08051	0.15578	0.3641	0.59286	0.36038	0.1002	1.65383	1.66408
LK Emsland	LK Emsland	Niedersachsen	3454	0.16205	0.31768	0.79101	1.15484	0.65761	0.17338	3.25657	3.26954
LK Ennepe-Ruhr-Kreis	LK Ennepe-Ruhr-Kreis	Nordrhein-Westfalen	5954	0.14357	0.26749	0.68426	1.14533	0.76629	0.23602	3.24296	3.24106
LK Enzkreis	LK Enzkreis	Baden-Württemberg	8236	0.09417	0.18322	0.44131	0.71632	0.42553	0.1285	1.98905	1.99556
LK Erding	LK Erding	Bayern	9177	0.07007	0.13387	0.32636	0.53087	0.24933	0.0661	1.3766	1.38182
LK Erlangen-Höchstadt	LK Erlangen-Höchstadt	Bayern	9572	0.06843	0.1314	0.28801	0.50115	0.2988	0.07492	1.36271	1.37262
LK Erzgebirgskreis	LK Erzgebirgskreis	Sachsen	14521	0.13721	0.2948	0.53082	1.13682	0.98298	0.29434	3.37697	3.34948
LK Esslingen	LK Esslingen	Baden-Württemberg	8116	0.25549	0.4894	1.27564	1.90448	1.07827	0.3353	5.33858	5.35024
LK Euskirchen	LK Euskirchen	Nordrhein-Westfalen	5366	0.08944	0.17485	0.41247	0.69445	0.43656	0.12063	1.9284	1.93656
LK Forchheim	LK Forchheim	Bayern	9474	0.05487	0.10482	0.25543	0.42753	0.25045	0.06789	1.16099	1.16203
LK Freising	LK Freising	Bayern	9178	0.09205	0.16912	0.47575	0.67191	0.30402	0.07831	1.79116	1.80007
LK Freudenstadt	LK Freudenstadt	Baden-Württemberg	8237	0.05489	0.11113	0.271	0.41842	0.24918	0.07473	1.17935	1.18243
LK Freyung-Grafenau	LK Freyung-Grafenau	Bayern	9272	0.03334	0.06242	0.17384	0.28212	0.18422	0.04761	0.78355	0.78362
LK Friesland	LK Friesland	Niedersachsen	3455	0.04164	0.08429	0.1963	0.33867	0.24987	0.07384	0.98461	0.98704
LK Fulda	LK Fulda	Hessen	6631	0.10499	0.20392	0.53174	0.76949	0.46537	0.15033	2.22584	2.23145
LK Fürstenfeldbruck	LK Fürstenfeldbruck	Bayern	9179	0.10907	0.21265	0.48398	0.79027	0.46278	0.13445	2.1932	2.19311
LK Fürth	LK Fürth	Bayern	9573	0.05647	0.10393	0.2365	0.42871	0.27134	0.07692	1.17387	1.17853
LK Garmisch-Partenkirchen	LK Garmisch-Partenkirchen	Bayern	9180	0.03968	0.07156	0.1914	0.30474	0.20935	0.06794	0.88467	0.88424
LK Germersheim	LK Germersheim	Rheinland-Pfalz	7334	0.06292	0.11758	0.29219	0.47141	0.27304	0.07361	1.29075	1.29013
LK Gießen	LK Gießen	Hessen	6531	0.12557	0.22524	0.77036	0.87747	0.53629	0.15382	2.68875	2.70688
LK Gifhorn	LK Gifhorn	Niedersachsen	3151	0.09047	0.16941	0.37992	0.64514	0.37297	0.10128	1.75919	1.76523
LK Göppingen	LK Göppingen	Baden-Württemberg	8117	0.12349	0.23528	0.58802	0.90357	0.55103	0.17114	2.57253	2.58145
LK Görlitz	LK Görlitz	Sachsen	14626	0.10236	0.21643	0.40734	0.85971	0.72733	0.23577	2.54894	2.52725
LK Goslar	LK Goslar	Niedersachsen	3153	0.04922	0.10071	0.28847	0.4588	0.35384	0.11909	1.37013	1.36292
LK Gotha	LK Gotha	Thüringen	16067	0.0586	0.11537	0.24881	0.48534	0.35154	0.09486	1.35452	1.34908
LK Göttingen	LK Göttingen	Niedersachsen	3159	0.13966	0.26895	0.83084	1.08128	0.73366	0.22635	3.28074	3.26041
LK Grafschaft Bentheim	LK Grafschaft Bentheim	Niedersachsen	3456	0.06618	0.13515	0.31063	0.48341	0.28647	0.08326	1.3651	1.37162
LK Greiz	LK Greiz	Thüringen	16076	0.03708	0.07782	0.14383	0.34644	0.28899	0.08743	0.98159	0.97398
LK Groß-Gerau	LK Groß-Gerau	Hessen	6433	0.14712	0.26232	0.65501	0.99064	0.53858	0.15159	2.74526	2.75726
LK Günzburg	LK Günzburg	Bayern	9774	0.06078	0.11556	0.29928	0.45432	0.25697	0.07056	1.25747	1.27027
LK Gütersloh	LK Gütersloh	Nordrhein-Westfalen	5754	0.18118	0.35448	0.85227	1.30991	0.71942	0.22357	3.64083	3.64938
LK Hameln-Pyrmont	LK Hameln-Pyrmont	Niedersachsen	3252	0.06447	0.1275	0.29889	0.51019	0.36244	0.12209	1.48558	1.48549
LK Harburg	LK Harburg	Niedersachsen	3353	0.11992	0.23876	0.50623	0.93823	0.56356	0.16105	2.52775	2.54431
LK Harz	LK Harz	Sachsen-Anhalt	15085	0.08084	0.16673	0.36162	0.75456	0.60552	0.17519	2.14446	2.1331
LK Haßberge	LK Haßberge	Bayern	9674	0.03933	0.07394	0.18654	0.30635	0.18904	0.05079	0.84599	0.84384
LK Havelland	LK Havelland	Brandenburg	12063	0.07073	0.1519	0.29272	0.62069	0.38091	0.10214	1.61909	1.62996
LK Heidekreis	LK Heidekreis	Niedersachsen	3358	0.06262	0.1281	0.31081	0.48828	0.31017	0.09756	1.39754	1.40673
LK Heidenheim	LK Heidenheim	Baden-Württemberg	8135	0.06216	0.12331	0.30455	0.45856	0.28221	0.09393	1.32472	1.32777
LK Heilbronn	LK Heilbronn	Baden-Württemberg	8125	0.17253	0.32179	0.8035	1.25151	0.68893	0.19242	3.43068	3.44456
LK Heinsberg	LK Heinsberg	Nordrhein-Westfalen	5370	0.11788	0.23119	0.56236	0.91921	0.55703	0.15555	2.54322	2.55555
LK Helmstedt	LK Helmstedt	Niedersachsen	3154	0.04091	0.07808	0.18547	0.32766	0.21458	0.06637	0.91307	0.91297
LK Herford	LK Herford	Nordrhein-Westfalen	5758	0.11722	0.23181	0.54567	0.88829	0.53948	0.18537	2.50784	2.50578
LK Hersfeld-Rotenburg	LK Hersfeld-Rotenburg	Hessen	6632	0.0534	0.10646	0.25356	0.41779	0.287	0.09008	1.20829	1.20719
LK Herzogtum Lauenburg	LK Herzogtum Lauenburg	Schleswig-Holstein	1053	0.09537	0.18614	0.39948	0.72225	0.43302	0.13639	1.97265	1.98019
LK Hildburghausen	LK Hildburghausen	Thüringen	16069	0.02578	0.05242	0.11162	0.23267	0.1666	0.04644	0.63553	0.63197
LK Hildesheim	LK Hildesheim	Niedersachsen	3254	0.11726	0.23281	0.62516	0.95733	0.63068	0.20271	2.76595	2.75817
LK Hochsauerlandkreis	LK Hochsauerlandkreis	Nordrhein-Westfalen	5958	0.11302	0.23283	0.57716	0.92128	0.57895	0.1815	2.60474	2.59777
LK Hochtaunuskreis	LK Hochtaunuskreis	Hessen	6434	0.11	0.24165	0.46191	0.87253	0.51452	0.16504	2.36565	2.36914
LK Hof	LK Hof	Bayern	9475	0.03647	0.07461	0.18666	0.33839	0.23735	0.07963	0.95311	0.94801
LK Hohenlohekreis	LK Hohenlohekreis	Baden-Württemberg	8126	0.05446	0.10468	0.2694	0.39815	0.22611	0.0673	1.1201	1.12655
LK Holzminden	LK Holzminden	Niedersachsen	3255	0.02862	0.05783	0.14599	0.23877	0.17803	0.06051	0.70975	0.70458
LK Höxter	LK Höxter	Nordrhein-Westfalen	5762	0.06111	0.12846	0.3043	0.49063	0.32117	0.101	1.40667	1.40251
LK Ilm-Kreis	LK Ilm-Kreis	Thüringen	16070	0.04673	0.08975	0.2134	0.37337	0.28563	0.07854	1.08742	1.06249
LK Jerichower Land	LK Jerichower Land	Sachsen-Anhalt	15086	0.03767	0.07405	0.14594	0.33202	0.24088	0.06872	0.89928	0.89589
LK Kaiserslautern	LK Kaiserslautern	Rheinland-Pfalz	7335	0.05424	0.09733	0.22709	0.37172	0.24166	0.06853	1.06057	1.05979
LK Karlsruhe	LK Karlsruhe	Baden-Württemberg	8215	0.20785	0.40345	0.98582	1.61002	0.95509	0.28011	4.44234	4.45101
LK Kassel	LK Kassel	Hessen	6633	0.10258	0.20102	0.47138	0.83352	0.58558	0.17226	2.36634	2.36764
LK Kelheim	LK Kelheim	Bayern	9273	0.05968	0.11735	0.29351	0.44573	0.2415	0.06481	1.22258	1.23058
LK Kitzingen	LK Kitzingen	Bayern	9675	0.04231	0.07874	0.2087	0.3284	0.19395	0.05699	0.90909	0.91155
LK Kleve	LK Kleve	Nordrhein-Westfalen	5154	0.1414	0.28258	0.71874	1.10741	0.67394	0.18567	3.10974	3.12465
